"cod_master","jan_prod","fev_prod","mar_prod","abr_prod","mai_prod","jun_prod","jul_prod"
"7762",14949.28,26428.25,30717.74,12224.39,11722.81,20781.97,58705.17
"11315",110.91,81.90,,207.85,113.73,4969.82,6182.51
"0589",10599.62,8908.18,8908.60,2999.98,5053.76,10481.77,7059.24
"12083",,,1731.63,,,,
"12237",,,,,16313.21,4736.42,7886.68
"11159",199880.84,80297.15,73642.50,27458.25,17340.07,25654.79,40781.31
"8198",33949.64,32211.42,23944.02,26975.18,29518.33,14915.12,27993.78
"8273",8564.21,77.20,291.40,,,,446.13
"12062",,,1855.82,3424.02,,,
"12183",,,,14313.98,3342.49,149.78,102.17
"10175",261.43,76.46,,160.46,,93.00,262.02
"11965",,312.95,877.37,690.24,242.11,87.28,313.54
"12099",,,,159.34,,,
"8101",1115233.72,507417.09,719763.63,689560.00,621694.49,645701.45,1112176.96
"8033",14693.46,8655.34,23950.16,12557.70,14734.82,984.49,6998.87
"7570",,223.08,1043.15,198.92,3838.22,793.64,96.14
"11251",20214.59,1997.33,,317.21,3515.31,2370.09,8658.99
"7717",8429.46,7515.52,8313.90,2665.89,2916.61,2515.70,3724.62
"10219",697568.30,464262.17,624930.78,846429.65,1056276.99,1013509.05,1140016.95
"11422",65802.93,20961.54,48355.56,45248.07,29195.13,63377.17,33303.58
"7656",6832.93,2856.32,4687.42,2620.88,7107.08,3964.32,4880.78
"0794",2647.30,,4379.84,239.49,98.25,,
"11176",51860.67,34252.13,60475.74,36653.90,46325.58,27466.32,26746.32
"10568",82946.67,70706.41,5586.98,,,,
"12128",,,4545.25,389.71,638.88,5722.92,13011.71
"8034",35741.42,16962.56,62634.99,22903.87,19228.49,12742.63,21638.85
"0522",757.79,459.02,590.84,490.17,1069.94,496.91,779.96
"10843",12454.80,15028.25,24874.03,33330.81,23336.23,39074.48,61795.72
"0983",1663.77,2061.25,378.73,764.16,1474.77,112.27,
"1010",400.27,,7816.15,2993.31,3864.55,9909.08,10505.92
"11863",24586.08,6787.48,17059.85,5366.02,5292.06,5983.17,13987.37
"7059",6408.88,2155.04,7865.38,2566.49,5534.30,3513.38,6865.04
"0380",3538.20,542.12,10006.51,2086.94,437.42,,1847.19
"11637",688.66,,2599.98,3373.74,3322.12,,
"10822",668.78,556.51,25259.09,325.70,763.35,269.59,844.40
"11343",24222.68,4390.61,12552.45,15770.53,667.21,2186.00,467.86
"12153",,,7354.96,29706.96,26524.17,17986.34,24464.53
"11751",3248.30,345.99,,1548.10,5880.90,,
"8220",,,,,331.66,238.57,
"8096",9520.27,1067.17,3506.25,1210.38,1916.02,,1735.63
"10636",75118.46,42201.27,81995.59,38624.12,48217.86,47106.67,66241.23
"7821",531.84,163.91,1300.51,,,585.65,
