"cod_master","mes","produzido","frequencia"
"0520",6,4619.57,4
"0520",7,1352.26,2
"0522",1,587.73,3
"0522",2,286.12,2
"0522",3,521.48,4
"0522",4,258.99,2
"0522",5,285.39,2
"0522",6,307.36,2
"0522",7,634.89,2
"0530",1,19332.26,101
"0530",2,4331.67,27
"0530",3,14235.03,100
"0530",4,11303.94,91
"0530",5,11332.87,73
"0530",6,14463.95,92
"0530",7,19249.37,87
"0545",1,4140.71,14
"0545",2,11053.80,11
"0545",3,19314.21,46
"0545",4,8695.83,34
"0545",5,4639.18,20
"0545",6,6045.30,28
"0545",7,5169.27,25
"0546",1,4508.92,16
"0547",1,3407.05,6
"0547",3,676.43,5
"0547",4,5099.39,8
"0547",5,318.09,2
"0547",6,569.79,3
"0547",7,470.53,3
"0555",1,2817.69,8
"0555",3,1496.90,4
"0555",5,961.21,3
"0555",7,172.43,1
"0562",1,4357.29,8
"0562",2,301.20,2
"0562",3,1353.69,4
"0562",4,3016.54,2
"0562",5,580.44,2
"0562",6,3124.91,3
"0589",1,4298.21,3
"0589",2,2074.10,5
"0589",3,1560.52,9
"0589",4,95.51,1
"0589",5,1227.74,3
"0589",6,2280.26,6
"0589",7,1054.35,3
"0593",1,147.03,1
"0606",1,7637.68,32
"0606",2,3466.27,13
"0606",3,14246.28,40
"0606",4,9204.34,51
"0606",5,13798.83,47
"0606",6,6500.24,23
"0606",7,12419.33,45
"0613",1,255.24,1
"0613",4,238.90,1
"0613",5,249.49,1
"0613",7,228.23,1
"0620",1,12965.99,42
"0620",2,15336.02,47
"0620",3,7425.19,47
"0620",4,12221.09,56
"0620",5,12245.73,50
"0620",6,14311.47,63
"0620",7,16931.11,71
"0620",12,508.57,1
"0653",1,106187.90,151
"0653",2,92596.28,71
"0653",3,107839.83,143
"0653",4,89785.34,157
"0653",5,80853.41,107
"0653",6,129572.09,137
"0653",7,105251.92,153
"0666",1,557.29,3
"0681",1,1767.56,5
"0681",2,119.83,1
"0681",3,6034.83,3
"0681",4,750.92,3
"0681",5,982.55,5
"0681",7,1709.16,4
"0712",1,776.41,1
"0712",2,491.89,1
"0712",3,2074.09,2
"0725",1,3101.77,3
"0725",2,1969.32,4
"0725",3,493.90,2
"0725",4,244.13,1
"0725",5,339.23,2
"0725",6,3696.24,7
"0725",7,685.65,3
"0726",1,630.08,3
"0726",2,238.53,2
"0726",3,113.48,1
"0726",4,5278.47,7
"0726",5,1081.42,5
"0726",6,4457.02,3
"0726",7,1073.18,3
"0731",1,5568.04,11
"0731",2,2810.92,11
"0731",3,1072.55,6
"0731",4,119.74,1
"0731",5,1889.06,7
"0731",6,2398.30,8
"0731",7,546.94,4
"0750",4,2365.28,1
"0750",7,1422.98,5
"0760",1,1057.96,1
"0760",2,2236.07,3
"0760",3,977.97,5
"0760",4,771.70,3
"0760",5,153.48,1
"0760",7,1231.82,2
"0762",1,926.58,3
"0762",3,646.24,3
"0762",4,810.66,4
"0762",7,383.66,1
"0763",1,499.01,3
"0763",2,780.98,4
"0763",3,381.65,3
"0763",4,147.12,1
"0763",5,323.98,3
"0763",6,570.82,4
"0763",7,1059.11,4
"0777",2,92.93,1
"0779",2,432.13,1
"0779",5,523.71,1
"0794",1,253.73,1
"0794",3,613.55,1
"0805",1,1520.43,10
"0805",2,3026.38,10
"0805",3,1368.17,10
"0805",4,9286.83,16
"0805",5,811.55,6
"0805",6,1559.37,9
"0805",7,1518.99,11
"0843",1,592.34,1
"0843",2,7327.57,4
"0876",1,639.13,3
"0876",2,1235.86,1
"0876",3,1282.44,2
"0876",4,2997.92,3
"0876",5,3682.81,7
"0876",6,4376.46,8
"0876",7,1208.92,8
"0920",1,28030.75,67
"0920",2,24572.09,29
"0920",3,41027.09,81
"0920",4,19739.11,61
"0920",5,24479.07,65
"0920",6,17243.26,69
"0920",7,34191.19,101
"0924",1,4718.48,22
"0924",2,805.15,7
"0924",3,4683.96,26
"0924",4,3665.83,24
"0924",5,3205.57,12
"0924",6,2964.40,19
"0924",7,9747.86,25
"0925",1,5116.96,20
"0925",2,5681.92,11
"0925",3,3481.02,21
"0925",4,3754.51,14
"0925",5,2365.43,13
"0925",6,2622.89,14
"0925",7,4757.74,23
"0932",1,34874.02,131
"0932",2,16513.80,75
"0932",3,26323.79,133
"0932",4,50659.09,179
"0932",5,38908.94,158
"0932",6,36244.83,164
"0932",7,42635.90,198
"0932",12,140.63,1
"0940",1,5095.86,2
"0940",2,4078.44,3
"0940",3,553.70,2
"0940",4,327.72,1
"0940",7,1056.76,4
"0943",6,2756.83,1
"0943",7,10935.40,2
"0951",1,4427.92,12
"0951",2,1729.27,7
"0951",3,4295.86,10
"0951",4,427.86,1
"0951",5,1993.32,7
"0951",6,6161.37,7
"0951",7,571.11,2
"0967",1,14302.62,55
"0967",2,6531.73,28
"0967",3,19867.97,46
"0967",4,9328.66,44
"0967",5,8109.54,50
"0967",6,9396.16,58
"0967",7,8949.78,49
"0978",6,2489.83,2
"0983",1,161.35,2
"0983",3,278.51,1
"0983",4,292.20,2
"0983",5,1327.86,1
"0984",5,63.13,1
"0984",6,85.33,1
"0984",7,72.68,1
"0988",2,692.46,1
"0988",3,1956.20,4
"0988",4,561.66,5
"0988",5,1494.78,7
"0988",6,824.62,4
"0988",7,358.96,2
"10000",7,1562.25,1
"10002",1,37486.47,123
"10002",2,22672.38,82
"10002",3,45446.80,159
"10002",4,26839.89,143
"10002",5,25412.67,140
"10002",6,25287.54,134
"10002",7,34155.01,151
"10002",12,180.11,1
"10005",1,3493.00,16
"10005",2,907.27,6
"10005",3,914.92,7
"10005",4,525.25,5
"10005",5,596.45,5
"10005",6,322.50,3
"10005",7,486.77,4
"10010",1,564.51,2
"10010",3,151.86,1
"10016",1,2262.46,10
"10016",2,1498.14,4
"10016",3,1616.89,10
"10016",4,2236.46,10
"10016",5,2225.88,4
"10016",6,321.87,2
"10016",7,850.46,5
"10019",1,12943.72,42
"10019",2,3450.39,10
"10019",3,9574.77,17
"10019",4,13035.49,34
"10019",5,6616.62,28
"10019",6,15743.68,36
"10019",7,4594.51,28
"10019",12,645.16,1
"10029",1,291.28,2
"10029",2,97.29,1
"10029",3,106.30,1
"10029",4,876.41,3
"10029",5,4271.68,4
"10029",6,485.68,1
"10031",1,6192.92,7
"10031",2,2883.03,6
"10031",3,2566.52,12
"10031",4,1566.32,11
"10031",5,1331.38,9
"10031",6,4130.34,11
"10031",7,2441.02,10
"10037",1,486390.74,2572
"10037",2,36509.89,328
"10037",3,17957.25,203
"10037",4,6820.23,89
"10037",5,15922.30,142
"10037",6,2665.54,26
"10037",7,11372.93,97
"10045",1,508162.54,2447
"10045",2,7398.38,60
"10045",3,10245.53,89
"10045",4,75902.67,495
"10045",5,3456.22,55
"10045",6,1389.11,18
"10045",7,4171.47,20
"10046",1,31789.95,164
"10046",2,16513.60,91
"10046",3,25915.90,175
"10046",4,19564.90,146
"10046",5,24880.20,162
"10046",6,27588.36,179
"10046",7,23259.13,174
"10047",1,1599.90,10
"10047",2,1206.48,8
"10047",3,2146.52,13
"10047",4,1718.94,10
"10047",5,491.71,4
"10047",6,595.25,4
"10047",7,4247.85,5
"10051",1,139.56,1
"10051",3,2501.07,13
"10051",4,1282.93,15
"10051",5,3591.25,12
"10051",6,1323.97,5
"10051",7,1417.69,8
"10054",1,1661.79,2
"10054",2,82.01,1
"10054",3,460.59,1
"10054",5,516.75,3
"10054",6,126.69,1
"10059",1,10843.79,29
"10059",2,4541.58,15
"10059",3,2291.14,15
"10059",4,5007.64,20
"10059",5,3672.98,18
"10059",6,2683.55,16
"10059",7,2789.32,16
"10061",1,64378.26,242
"10061",2,16794.38,80
"10061",3,47445.81,236
"10061",4,50157.49,236
"10061",5,33573.23,163
"10061",6,10199.43,77
"10061",7,13006.77,77
"10062",2,809.23,1
"10064",1,1495.39,2
"10073",1,50809.75,184
"10073",2,23864.89,126
"10073",3,45117.07,203
"10073",4,31115.67,191
"10073",5,39210.61,177
"10073",6,25145.68,168
"10073",7,30641.95,197
"10073",12,88.48,1
"10074",1,13913.16,24
"10074",2,8278.94,29
"10074",3,14717.81,45
"10074",4,22627.11,52
"10074",5,21421.87,32
"10074",6,14596.46,27
"10074",7,8395.40,35
"10082",4,126.73,1
"10082",5,1889.66,12
"10082",6,4165.78,29
"10082",7,7374.52,32
"10086",1,5413.67,18
"10086",2,2503.39,15
"10086",3,6789.61,37
"10086",4,4639.88,28
"10086",5,1252.23,10
"10091",1,149.32,1
"10091",5,3841.64,2
"10091",6,950.57,4
"10091",7,340.66,1
"10097",1,68672.81,227
"10097",2,22130.07,85
"10097",3,55642.26,197
"10097",4,42540.00,171
"10097",5,28257.95,132
"10097",6,51798.33,161
"10099",1,4022.74,21
"10099",2,1855.72,5
"10099",3,3657.92,14
"10099",4,1457.45,9
"10099",5,2695.75,15
"10099",6,1179.61,10
"10099",7,3290.37,15
"1010",3,4752.88,8
"1010",4,344.01,2
"1010",5,2246.40,11
"1010",6,2598.49,12
"1010",7,2285.23,14
"10103",1,198.43,1
"10103",2,1038.32,2
"10103",3,282.11,1
"10103",4,2362.50,4
"10103",5,310.19,2
"10103",6,531.82,3
"10103",7,9119.29,1
"10104",1,19634.08,63
"10104",2,5993.91,31
"10104",3,11570.59,49
"10104",4,19774.23,46
"10104",5,6888.22,42
"10104",6,14434.47,35
"10104",7,10451.46,38
"10105",1,11110.88,26
"10105",2,8904.00,14
"10105",3,6396.47,16
"10105",4,4248.70,19
"10105",5,18341.92,12
"10105",6,8447.42,21
"10105",7,4003.71,12
"10106",1,20902.15,52
"10106",2,38917.29,27
"10106",3,37279.13,55
"10106",4,27264.63,58
"10106",5,15742.51,44
"10106",6,15845.03,74
"10106",7,23004.99,75
"10108",1,1123.94,3
"10108",2,1949.19,3
"10108",3,1157.60,4
"10108",4,147.51,1
"10108",5,357.21,2
"10108",6,487.84,3
"10108",7,2546.76,7
"10110",1,44705.46,154
"10110",2,19939.08,60
"10110",3,14240.67,65
"10110",4,7528.58,37
"10110",5,8001.94,30
"10110",6,5899.30,33
"10110",7,4987.54,17
"10110",12,2196.05,4
"10113",1,5506.91,10
"10113",2,1702.03,9
"10113",3,5598.36,25
"10113",4,1939.81,14
"10113",5,6951.50,14
"10113",6,2012.50,10
"10113",7,2680.69,9
"10114",1,343.27,2
"10114",2,2512.75,4
"10114",3,952.56,4
"10114",4,3784.40,6
"10114",5,1252.70,7
"10114",6,689.56,4
"10114",7,217.89,2
"10121",1,10321.28,14
"10121",2,9224.71,11
"10121",3,9038.84,12
"10121",4,2138.25,9
"10121",5,4113.70,8
"10121",6,1660.94,6
"10121",7,1985.48,6
"10125",1,3394.85,10
"10125",2,2473.46,9
"10125",3,695.59,5
"10125",4,1901.61,11
"10125",6,247.58,2
"10125",7,861.13,8
"10130",1,551.23,3
"10130",2,145.04,1
"10130",3,5855.96,44
"10130",4,38.07,1
"10130",6,2608.46,18
"10130",7,5207.16,36
"10133",1,1127.60,6
"10133",2,1422.47,3
"10133",4,356.83,2
"10133",5,1091.97,5
"10133",6,774.54,3
"10133",7,540.08,4
"10134",1,16707.20,85
"10134",2,2719.55,18
"10134",3,10375.50,69
"10134",4,12099.94,75
"10134",5,10826.10,53
"10134",6,10871.66,61
"10134",7,19106.63,81
"10136",2,38.18,1
"10136",5,231.65,1
"10138",1,1644.63,8
"10138",2,121.96,1
"10138",3,930.10,6
"10138",4,1692.84,6
"10138",5,1190.78,3
"10138",6,1377.71,5
"10138",7,2066.21,5
"10139",1,1101201.17,4949
"10139",2,508654.19,2709
"10139",3,913829.09,4990
"10139",4,1047261.23,5874
"10139",5,809757.97,4762
"10139",6,1139734.83,6637
"10139",7,1335127.44,7667
"10139",12,9870.97,58
"1014",1,6361.99,24
"1014",2,1908.95,11
"1014",3,7065.08,28
"1014",4,4309.99,22
"1014",5,4387.36,18
"1014",6,4752.27,22
"1014",7,2497.29,17
"10140",1,856.58,11
"10140",2,4777.46,36
"10140",3,2714.54,22
"10140",4,4809.79,40
"10140",5,6957.53,32
"10140",6,3180.10,28
"10140",7,1361.75,7
"10147",1,25126.25,50
"10147",2,7111.66,27
"10147",3,34021.01,61
"10147",4,5363.14,25
"10147",5,8065.79,33
"10147",6,4347.43,26
"10147",7,8127.43,28
"10156",1,9394.57,22
"10156",2,10874.49,9
"10156",3,10137.00,16
"10156",4,3066.85,8
"10156",5,4156.24,6
"10156",6,3551.86,7
"10156",7,6781.19,11
"10157",1,363.17,2
"10157",4,232.73,2
"10157",5,181.53,2
"10157",6,101.40,1
"10157",7,237.90,2
"10158",1,207516.43,1040
"10158",2,112504.06,745
"10158",3,182533.26,1171
"10158",4,173822.13,1172
"10158",5,178468.17,1073
