"cod_master","produzido","frequencia","faixa"
"7329",8578.98,1,sem_faixa
"7333",163466.38,1226,faixa_3
"7335",2944.48,28,sem_faixa
"7337",4553.77,14,sem_faixa
"7347",847.80,3,sem_faixa
"7349",308.39,3,sem_faixa
"7357",15188.53,64,faixa_1
"7362",8293.61,27,sem_faixa
"7364",15397.29,86,faixa_1
"7367",1721.77,25,sem_faixa
"7373",6443.28,38,sem_faixa
"7389",5422.21,14,sem_faixa
"7394",1085.17,2,sem_faixa
"7398",2916.38,9,sem_faixa
"7400",820.04,1,sem_faixa
"7405",12854.77,59,faixa_1
"7413",4095.46,8,sem_faixa
"7422",1256.33,7,sem_faixa
"7424",47.89,1,sem_faixa
"7428",553.39,4,sem_faixa
"7436",4243.37,15,sem_faixa
"7439",4910.23,25,sem_faixa
"7449",5506.88,7,sem_faixa
"7452",3524.48,10,sem_faixa
"7453",1676.30,6,sem_faixa
"7455",2599.89,10,sem_faixa
"7458",282.56,1,sem_faixa
"7481",58973.37,266,faixa_2
"7484",132763.75,713,faixa_3
"7485",393.88,2,sem_faixa
"7490",42254.35,256,faixa_2
"7507",4354.76,31,sem_faixa
"7508",5412.21,18,sem_faixa
"7516",36704.31,231,faixa_2
"7520",101322.70,639,faixa_2
"7521",1382.82,3,sem_faixa
"7525",2285.70,12,sem_faixa
"7528",132.00,1,sem_faixa
"7529",15636.30,71,faixa_1
"7531",1773.65,7,sem_faixa
"7543",561.32,4,sem_faixa
"7544",11446.27,157,faixa_1
"7545",2607.17,14,sem_faixa
"7547",490.62,1,sem_faixa
"7559",14887.34,44,faixa_1
"7560",424716.22,2674,faixa_3
"7560.01",986839.40,5673,faixa_1
"7568",745.94,2,sem_faixa
"7569",4777.44,9,sem_faixa
"7570",96.14,1,sem_faixa
"7574",2760.21,14,sem_faixa
"7575",311541.70,1891,faixa_3
"7588",68284.77,267,faixa_2
"7590",2682.44,17,sem_faixa
"7596",1082.53,5,sem_faixa
"7597",21835.22,72,faixa_1
"7599",1198.01,8,sem_faixa
"7603",6748.18,50,sem_faixa
"7605",5612.21,42,sem_faixa
"7608",1788.17,1,sem_faixa
"7613",60630.41,266,faixa_2
"7618",140.63,1,sem_faixa
"7619",134.29,1,sem_faixa
"7621",5958.39,21,sem_faixa
"7625",2989.23,8,sem_faixa
"7626",2335.97,7,sem_faixa
"7628",286.36,2,sem_faixa
"7632",9318.10,46,sem_faixa
"7636",3136.64,18,sem_faixa
"7637",383.92,1,sem_faixa
"7641",1133.85,3,sem_faixa
"7656",2384.01,18,sem_faixa
"7663",25720.35,50,faixa_2
"7669",2093.86,13,sem_faixa
"7672",896.80,3,sem_faixa
"7695",10827.16,36,faixa_1
"7699",3027.04,19,sem_faixa
"7704",7680.41,38,sem_faixa
"7708",1504.20,7,sem_faixa
"7709",511.18,2,sem_faixa
"7716",327.00,2,sem_faixa
"7717",3089.13,11,sem_faixa
"7718",3134158.88,19849,faixa_1
"7723",1467.03,10,sem_faixa
"7726",2431.94,16,sem_faixa
"7733",14043.83,34,faixa_1
"7738",463.01,4,sem_faixa
"7739",22329.40,104,faixa_1
"7747",253.73,1,sem_faixa
"7749",2189.08,11,sem_faixa
"7750",4118.17,29,sem_faixa
"7751",43308.70,297,faixa_2
"7752",16140.68,66,faixa_1
"7755",1704.07,5,sem_faixa
"7760",392060.14,2312,faixa_3
"7761",2165.82,6,sem_faixa
"7762",13465.53,11,faixa_1
"7767",6272.00,23,sem_faixa
"7778",1956.39,12,sem_faixa
"7779",6842.37,6,sem_faixa
"7788",4634.93,17,sem_faixa
"7794",139.78,1,sem_faixa
"7797",14183.57,63,faixa_1
"7813",1506.04,3,sem_faixa
"7814",92.25,1,sem_faixa
"7820",6099.23,9,sem_faixa
"7826",2005.90,3,sem_faixa
"7827",33968.02,185,faixa_2
"7829",279.59,2,sem_faixa
"7831",524.90,6,sem_faixa
"7839",101434.80,570,faixa_2
"7842",1207.58,10,sem_faixa
"7852",6578.62,18,sem_faixa
"7858",383.50,2,sem_faixa
"7862",16502.94,47,faixa_1
"7864",525.21,3,sem_faixa
"7873",97933.42,626,faixa_2
"7876",2199.78,12,sem_faixa
"7883",917.80,6,sem_faixa
"7885",123.27,1,sem_faixa
"7906",7546.84,33,sem_faixa
"7914",1556.68,6,sem_faixa
"7923",849.29,3,sem_faixa
"7925",14898.37,94,faixa_1
"7929",6304.72,45,sem_faixa
"7933",375.15,2,sem_faixa
"7937",175178.70,736,faixa_3
"7954",10214.53,48,faixa_1
"7956",69547.19,260,faixa_2
"7963",405.56,3,sem_faixa
"7967",6220.94,47,sem_faixa
"7968",1617.29,8,sem_faixa
"7975",127.18,2,sem_faixa
"7995",9281.49,43,sem_faixa
"7998",26765.63,1,faixa_2
"8000",1414.96,5,sem_faixa
"8003",2584.43,14,sem_faixa
"8015",6954.98,28,sem_faixa
"8016",81410.42,338,faixa_2
"8019",12205.91,46,faixa_1
"8023",105.62,1,sem_faixa
"8024",22974.51,86,faixa_1
"8026",15634.18,98,faixa_1
"8027",1083.54,10,sem_faixa
"8030",2021.58,5,sem_faixa
"8033",5804.55,6,sem_faixa
"8034",5487.84,30,sem_faixa
"8039",422.37,5,sem_faixa
"8040",3305.61,3,sem_faixa
"8045",298193.57,1790,faixa_3
"8052",6596.41,24,sem_faixa
"8061",7997.87,65,sem_faixa
"8070",53015.95,281,faixa_2
"8073",8106.39,31,sem_faixa
"8076",97484.02,488,faixa_2
"8078",7506.66,35,sem_faixa
"8080",32373.76,167,faixa_2
"8091",293.31,2,sem_faixa
"8101",440092.50,2618,faixa_3
"8113",49823.13,302,faixa_2
"8114",6551.75,37,sem_faixa
"8117",3331.95,17,sem_faixa
"8124",1571.01,10,sem_faixa
"8127",2373.27,16,sem_faixa
"8130",4838.30,21,sem_faixa
"8136",10535.40,32,faixa_1
"8150",609.13,6,sem_faixa
"8171",12473.36,23,faixa_1
"8173",7220.25,29,sem_faixa
"8177",218.95,1,sem_faixa
"8183",260.78,2,sem_faixa
"8191",370.62,2,sem_faixa
"8198",11013.06,44,faixa_1
"8202",11397.04,53,faixa_1
"8205",787.32,7,sem_faixa
"8211",768.93,4,sem_faixa
"8218",1739.87,6,sem_faixa
"8219",996.09,6,sem_faixa
"8226",309.32,2,sem_faixa
"8235",4436.44,12,sem_faixa
"8243",9745.86,7,sem_faixa
"8246",590.67,4,sem_faixa
"8247",98.16,1,sem_faixa
"8250",1534.90,4,sem_faixa
"8263",58076.77,308,faixa_2
"8271",2833.65,17,sem_faixa
"8288",10507.03,55,faixa_1
"8293",70485.03,239,faixa_2
"8295",1170.87,1,sem_faixa
"8298",2250.90,16,sem_faixa
"8301",3293.74,18,sem_faixa
"8306",54125.08,294,faixa_2
"8312",11077.76,54,faixa_1
"8316",20364.22,138,faixa_1
"8341",609.95,3,sem_faixa
"8344",28539.91,160,faixa_2
"8345",498.71,3,sem_faixa
"8347",569.03,4,sem_faixa
"8349 ",1050.91,7,sem_faixa
"8365",742.08,1,sem_faixa
"8366",8626.24,59,sem_faixa
"8370",109324.13,262,faixa_2
"8371",1318.09,5,sem_faixa
"8373",480.24,3,sem_faixa
"8383",22289.10,65,faixa_1
"8420",34020.09,221,faixa_2
"9001",364.68,4,sem_faixa
