"cod_master","jan_prod","jan_freq","fev_prod","fev_freq","mar_prod","mar_freq","abr_prod","abr_freq","mai_prod","mai_freq","jun_prod","jul_freq","jul_prod"
"10321",294133.09,1225,154555.99,831,262320.78,1400,213376.71,1368,250592.39,1320,247214.37,1478,251132.22
"10330",311.11,2,371.87,3,287.54,2,229.65,2,518.83,2,205.01,2,570.24
"10332",106443.86,422,62216.79,209,88989.45,425,61527.08,339,54430.98,278,50430.74,247,46435.48
"10334",1978.54,4,391.64,4,157.98,2,146.47,2,114.37,1,,0,110.07
"10336",5913.30,33,3832.44,16,9507.51,41,4522.54,32,3644.97,26,5281.24,31,4435.75
"10339",12574.74,52,3284.38,22,8747.09,51,4959.32,34,5431.81,31,2243.37,14,5178.08
"10340",4270.98,5,2729.20,4,852.92,2,,0,,0,1255.96,2,
"10341",2732.57,5,,0,95.00,1,531.37,4,1170.22,8,5485.22,10,452.71
"10353",209690.15,597,126947.81,512,244976.32,977,222984.20,1033,232766.84,931,192562.01,880,169411.30
"10354",53997.04,130,1473.11,5,2180.67,6,413.78,2,601.03,3,638.64,3,427.66
"10358",11766.59,13,1747.60,8,7521.89,10,3889.33,11,2592.27,8,6317.33,14,5403.10
"10363",302.82,1,117.53,1,128.96,1,,0,,0,,0,
"1037",9724.49,15,2600.08,9,7149.79,10,2848.26,11,1375.98,8,851.94,5,7381.97
"10371",5148.72,8,1314.93,11,657.50,6,5465.25,22,4382.06,33,5643.15,36,4771.42
"10375",187707.77,700,78767.28,344,187083.37,854,149555.12,728,154515.40,654,189260.43,822,177586.92
"10379",229.05,3,89.30,1,,0,,0,,0,,0,
"10380",53600.87,66,12447.77,27,16514.89,60,19114.06,50,12122.08,46,16933.72,65,14175.50
"1039",275.95,2,365.10,3,200.08,2,95.29,1,,0,98.56,1,194.37
"10390",12148.73,18,587.57,3,3837.09,8,3027.15,9,3277.36,4,1317.21,6,707.63
"10395",2844.72,9,1078.81,6,3851.41,9,2507.26,11,981.77,7,1284.55,6,1059.66
"10396",1864.30,8,2745.86,11,1634.17,9,1498.06,8,1018.36,5,4799.15,10,704.32
"10398",6327.06,24,7210.03,20,7797.16,39,5306.37,27,2750.54,20,9932.96,36,10288.08
"10403",,0,,0,3414.36,4,2258.45,4,,0,,0,100.48
"10406",14739.16,44,9928.35,23,16320.73,42,21992.08,38,15773.89,25,8590.69,36,20123.08
"10407",2637.11,15,1281.40,8,6253.84,27,2483.19,15,13798.34,23,5047.46,22,3193.60
"10408",50366.15,197,28040.96,117,39538.21,205,41693.05,180,39284.76,166,30803.96,149,45200.75
"10421",1940.02,6,459.74,2,2257.72,5,2719.91,3,,0,910.44,4,684.16
"10426",21975.17,45,7454.66,15,10854.17,37,8665.88,39,5384.54,24,8575.94,29,24175.39
"10429",10440.25,35,4173.01,15,10655.11,24,8176.43,28,5152.99,24,20831.68,36,7994.34
"10430",1726.27,9,5793.01,10,1764.01,9,4817.57,12,5484.54,15,1123.54,6,2020.71
"10431",5399.49,33,2040.78,16,8653.79,45,5694.79,39,5582.72,33,4562.81,30,7074.56
"10439",4238.53,15,564.60,4,2392.46,15,1343.26,9,2472.75,7,1040.00,6,1088.15
"10442",243668.11,853,107306.86,439,229007.33,917,101014.05,383,82106.85,290,65193.34,289,95527.89
"10442.01",2158.27,5,1266.97,2,1996.55,5,8678.63,27,2441.44,2,,0,
"10444",,0,,0,,0,,0,173.66,1,,0,
"10445",31985.90,88,11336.62,40,10293.24,58,13261.43,56,13470.61,49,8718.34,47,9969.66
"10448",24512.75,59,5381.29,19,28989.65,54,22722.32,54,24127.21,33,20528.17,52,16154.10
"10460",1136.20,2,,0,,0,445.44,1,,0,,0,
"10462",2524.87,10,3872.03,3,5414.21,8,1053.75,4,4890.26,9,,0,3873.99
"10468",2910.70,14,2237.69,15,2114.09,17,3347.53,14,1233.70,10,1797.77,13,1207.94
"10469",481.21,1,913.07,2,,0,161.03,1,173.64,1,155.74,1,
"10484",5279.60,19,4427.38,14,5500.43,28,10877.08,26,10688.71,18,3656.21,17,5814.37
"10488",7461.81,15,3163.24,4,3329.23,6,1002.48,4,269.28,1,1976.27,8,1600.35
"10492",4103.04,12,701.53,6,1752.03,9,689.83,6,1016.41,9,2308.43,10,468.51
"10494",8710.99,19,5436.29,10,6987.69,25,4980.22,18,6400.57,24,4410.59,16,5735.29
"10496",272.91,1,,0,,0,90.79,1,,0,,0,
"10497",,0,198.30,1,390.16,1,463.09,2,,0,,0,112.08
"1051",3657.45,17,2303.22,15,6350.63,36,1918.10,9,,0,,0,
"10510",2583.03,5,1438.02,2,,0,3016.79,2,,0,3241.77,1,
"10515",769.16,4,,0,553.75,2,,0,,0,,0,
"10517",7955.23,10,6803.21,14,19149.34,40,18474.89,44,7760.33,25,20325.37,32,11069.91
"10521",1449213.82,6117,886715.64,4196,1182303.88,6071,1063632.36,5907,862188.63,4825,767957.60,4383,816612.55
"1053",36545.43,181,28427.18,166,32460.39,220,31752.02,179,29192.10,198,26715.10,182,30041.35
"10530",14256.50,42,12641.24,16,24017.60,28,16186.57,46,6240.87,19,8562.83,32,8653.63
"10538",227.38,1,79.67,1,1393.72,4,196.01,1,349.58,2,193.43,1,
"10539",3717.56,7,34.50,1,4926.89,11,2676.81,8,5538.04,12,1003.77,8,182.73
"10548",45602.63,166,3202.24,16,3294.75,16,42574.53,232,4476.23,32,7452.45,48,10537.74
"10551",705.88,5,380.25,2,535.96,6,2574.48,4,602.28,4,966.28,6,529.23
"10553",4829.74,6,447.64,3,406.47,2,291.52,2,1755.55,2,2091.96,4,362.45
"10555",4393.63,3,315.79,1,194.88,1,,0,,0,,0,
"10558",5854.98,33,5059.73,26,6943.07,43,6908.41,46,5202.95,32,8722.31,40,5286.40
"10564",1952.18,7,611.74,4,2144.83,10,4526.31,10,4469.50,7,3168.37,11,11785.58
"10565",,0,,0,,0,,0,3874.47,4,139.16,1,
"10566",8777.53,45,6440.37,35,9220.04,55,447.39,2,1900.63,3,,0,80.25
"10568",31802.05,31,25781.58,15,,0,,0,,0,,0,
"1057",22570.02,108,17991.90,52,17372.94,80,9235.43,63,13544.01,66,11240.89,60,13198.47
"10584",3151.76,2,,0,651.97,3,266.22,3,,0,857.60,4,118.12
"10586",2018.66,2,123.49,1,1829.61,6,797.71,3,352.54,3,,0,
"10591",21792.21,97,6789.23,50,17360.41,114,22808.52,110,17126.89,106,17030.91,113,22586.00
"10593",3732.53,2,,0,95.86,2,142.28,2,,0,,0,289.91
"10606",13114.92,61,10416.86,58,11508.89,67,15212.38,69,8277.74,52,7034.37,39,9914.61
"10608",31540.74,87,15086.46,39,20383.73,70,25301.76,121,33782.08,95,25904.92,104,24223.05
"10614",172587.14,586,70716.56,345,120583.54,534,111014.56,512,47185.44,237,28304.76,138,30508.60
"10622",20306.26,83,4046.14,16,8844.29,52,18894.00,113,13042.30,81,17467.75,103,20280.03
"10625",,0,,0,53.39,1,1403.25,14,,0,53.60,1,
"10628",,0,281.88,1,277.65,1,,0,,0,,0,
"10636",23773.58,73,13069.63,40,17955.57,78,12857.81,72,7055.01,44,11792.70,52,24192.27
"10637",42638.43,111,29615.30,131,41862.83,164,47435.82,189,100008.66,442,81311.96,334,104979.48
"10640",122.86,1,,0,,0,,0,,0,,0,
"10648",112029.06,534,34838.94,178,87218.61,474,89058.02,409,50271.58,302,65031.12,404,84765.38
"10649",180.84,1,,0,106.99,1,5618.54,2,,0,116.69,1,131.84
"10656",1410.92,4,1199.67,4,541.11,3,266.91,2,1862.65,3,275.59,2,478.71
"10657",5241.56,20,1893.49,9,1865.95,14,3337.90,17,2061.68,13,8553.71,11,2717.93
"10659",1848.05,4,169.38,1,406.39,3,306.77,2,643.07,3,817.13,2,538.31
"10662",3645.50,20,2313.41,9,4674.16,28,5924.84,26,11859.43,38,7649.13,47,7286.97
"10672",8653.42,27,5233.96,21,16024.93,50,6997.86,35,6684.13,19,2971.16,20,2744.27
"10673",2811.99,9,609.29,4,6278.04,11,7263.76,23,13234.82,19,6616.42,16,22854.15
"10676",70835.47,196,5959.56,49,26645.79,173,26849.69,227,56576.11,365,81090.31,454,68714.30
"10678",110.21,1,,0,119.06,1,812.50,1,160.55,2,311.21,2,1157.08
"10679",3083.86,12,6490.25,11,15971.87,29,8100.66,31,15772.32,50,11116.11,35,9878.98
"10690",3281.14,14,558.71,4,1034.42,9,1626.33,10,1308.46,5,979.03,7,1758.17
"10693",37348.56,118,22612.73,74,28048.79,106,27683.57,90,19085.70,79,19778.57,70,21458.52
"10694",2801.38,7,350.84,2,2731.38,19,56.93,1,216.16,2,125.40,2,
"10696",7121.66,22,6972.03,27,17209.84,30,11126.61,44,15790.02,35,8402.77,32,3526.72
"10698",18056.31,17,8656.11,11,5922.66,21,4067.74,23,9136.54,31,1220.40,9,11201.22
"10699",10557.36,53,4778.43,33,7462.96,52,7613.47,54,5188.49,35,7477.61,51,5286.21
"10702",3186.11,19,10529.52,11,4758.33,23,1934.36,19,1910.01,11,,0,
"10709",3090.11,37,1250.15,7,1218.76,19,738.64,11,542.12,4,1556.14,11,427.11
"10711",314.08,2,,0,,0,469.07,2,,0,,0,
"10713",1112.15,2,377.79,1,101.17,1,369.46,2,327.37,1,781.70,1,588.05
"10714a",10436.60,40,5136.39,31,6478.64,38,8117.95,51,4668.76,26,4223.65,27,7199.67
"10720",11660.84,53,6057.27,29,11045.32,62,10020.24,48,15036.51,72,13277.33,67,12633.19
"10723",9295.36,25,2400.98,11,5856.64,27,5467.84,19,4976.25,19,3831.46,16,7417.53
"10724",21484.21,51,5048.67,26,6493.78,40,8071.85,40,5104.72,28,6882.22,42,10684.31
"10725",6794.38,4,439.21,1,2699.69,4,369.95,3,476.84,2,16817.12,3,117.80
"10726",4458.53,19,692.10,6,803.22,6,1072.21,8,1611.90,10,1320.37,10,5409.32
"10730",379.57,1,261.98,1,967.69,3,550.54,3,1467.50,8,4587.67,7,1403.10
"10735",2057.37,6,494.85,2,1020.27,7,303.54,3,266.44,2,1887.32,4,176.73
"10738",,0,,0,,0,472.50,2,,0,418.91,2,
"10739",,0,108.64,1,,0,73.75,1,72.97,1,100.36,1,491.63
"10741",2712.60,12,1431.28,9,2497.11,14,3147.96,12,1686.32,10,1981.27,11,1418.97
"10745",8350.75,36,3669.22,23,6265.25,43,10265.76,43,7861.06,38,7186.43,44,7461.60
"10748",5560.14,6,1633.96,1,,0,353.53,1,88.57,1,117.36,1,87.48
"10751",7128.37,24,1829.39,13,3848.84,23,3845.60,13,3873.89,16,1387.71,10,6409.88
"10753",78.64,1,,0,504.94,3,85.91,1,,0,,0,
"10755",41596.47,68,12537.10,57,18905.96,71,20800.98,66,13689.43,53,14042.00,51,27641.48
"10756",21861.93,58,5899.25,27,5482.68,37,10417.48,38,5533.12,24,10527.60,38,10388.54
"10758",10275.54,54,3212.14,25,5931.10,46,2463.00,17,3592.07,29,2164.17,17,4918.40
"10761",630.18,4,334.33,2,,0,6259.22,4,1092.22,4,804.63,2,811.32
"10765",184995.99,799,88093.87,486,179524.66,901,41400.85,271,71315.36,407,53182.68,207,56483.88
"10766",4079.47,15,4311.18,13,4053.16,18,4194.11,17,12294.39,15,11953.14,22,5318.70
"10770",3734.76,14,888.95,6,6036.17,16,3496.33,15,3279.67,11,3214.64,14,4578.26
"10774",925.08,2,,0,417.05,1,760.31,4,,0,202.42,1,
